Sprachen,Bundesland,Ort
"Aramäisch (Turoyo, Surayt), Kurdisch (Kurmandschi - Nordkurdisch), Türkisch",Baden-Württemberg,Heilbronn
"Englisch, Französisch",Baden-Württemberg,Esslingen
"Französisch, Italienisch",Baden-Württemberg,Wiesloch
Russisch,Baden-Württemberg,Weinheim
"Englisch, Spanisch",Baden-Württemberg,Stuttgart
Englisch,Baden-Württemberg,Heidelberg
Englisch,Baden-Württemberg,Rottenburg
Persisch,Baden-Württemberg,Schallstadt
Türkisch,Baden-Württemberg,Tübingen
Spanisch,Baden-Württemberg,
Italienisch,Baden-Württemberg,Leipzig
"Dari, Paschtu (Paschto, Pashto), Persisch, Urdu",Baden-Württemberg,Pfinztal
Italienisch,Baden-Württemberg,Heidelberg
Russisch,Baden-Württemberg,Heidelberg
Englisch,Baden-Württemberg,Stuttgart
Italienisch,Baden-Württemberg,Sindelfingen<br />Böblingen
"Englisch, Russisch",Baden-Württemberg,Mannheim
"Französisch, Italienisch",Baden-Württemberg,Ladenburg
Portugiesisch,Baden-Württemberg,Heidelberg
"Englisch, Rumänisch, Spanisch",Baden-Württemberg,Heidelberg
Französisch,Baden-Württemberg,Wolfach-Kirnbach<br />Meylan
Hebräisch,Baden-Württemberg,Simmersfeld
Englisch,Baden-Württemberg,Herrenberg
Arabisch,Baden-Württemberg,Freiburg
"Englisch, Französisch, Italienisch, Spanisch",Baden-Württemberg,Karlsruhe
Türkisch,Baden-Württemberg,Bad Rappenau
Ungarisch,Baden-Württemberg,Erbach-Ringingen
"Dari, Farsi",Baden-Württemberg,Karlsruhe
Englisch,Baden-Württemberg,Wiesloch
Russisch,Baden-Württemberg,Wertheim
Serbisch,Baden-Württemberg,Karlsruhe
"Englisch, Französisch",Baden-Württemberg,Heidelberg
Russisch,Baden-Württemberg,Remseck am Neckar
Englisch,Baden-Württemberg,Karlsruhe
Griechisch (Neugriechisch),Baden-Württemberg,Schwetzingen
Französisch,Baden-Württemberg,Schwanau
Vietnamesisch,Baden-Württemberg,Heidelberg
Thailändisch (Thai),Baden-Württemberg,Leingarten
"Englisch, Französisch",Baden-Württemberg,Ladenburg
Bulgarisch,Baden-Württemberg,Offenburg
"Arabisch, Französisch",Baden-Württemberg,Karlsruhe
Französisch,Baden-Württemberg,Bugarach
"Französisch, Spanisch",Baden-Württemberg,Heidelberg
Russisch,Baden-Württemberg,Seligenstadt
Italienisch,Baden-Württemberg,Mannheim
Englisch,Baden-Württemberg,Stuttgart
Russisch,Baden-Württemberg,Stuttgart
Englisch,Baden-Württemberg,Heidelberg
Georgisch,Baden-Württemberg,Sindelfingen
Spanisch,Baden-Württemberg,
"Englisch, Italienisch",Baden-Württemberg,Stuttgart
Kurdisch,Baden-Württemberg,<br />Heidelberg
Italienisch,Baden-Württemberg,
Englisch,Baden-Württemberg,Emmingen-Liptingen
Rumänisch,Baden-Württemberg,Konstanz
Türkisch,Baden-Württemberg,Lahr
"Englisch, Spanisch",Baden-Württemberg,Stuttgart
Italienisch,Baden-Württemberg,Esslingen
Englisch,Baden-Württemberg,Oldenburg
Spanisch,Baden-Württemberg,Möglingen
Italienisch,Baden-Württemberg,Langensendelbach
Englisch,Baden-Württemberg,Friedrichshafen
Türkisch,Baden-Württemberg,<br />Freiburg
Ukrainisch,Baden-Württemberg,Dietenheim
"Englisch, Französisch",Baden-Württemberg,Ulm
Englisch,Baden-Württemberg,Tübingen<br />Tübingen
"Französisch, Spanisch",Baden-Württemberg,Wehr
Finnisch,Baden-Württemberg,Illerkirchberg<br />Illerkirchberg
Französisch,Baden-Württemberg,Mannheim
Englisch,Baden-Württemberg,Neresheim
Französisch,Baden-Württemberg,Heidelberg
Englisch,Baden-Württemberg,Konstanz<br />Konstanz
Koreanisch,Baden-Württemberg,Mannheim
Englisch,Baden-Württemberg,Affalterbach
Niederländisch,Baden-Württemberg,Freiburg
Russisch,Baden-Württemberg,Malsburg-Marzell
Albanisch,Baden-Württemberg,Stuttgart<br />Schwieberdingen
Russisch,Baden-Württemberg,Stuttgart
Rumänisch,Baden-Württemberg,Mannheim
Englisch,Baden-Württemberg,Heidelberg
Bulgarisch,Baden-Württemberg,Bopfingen<br />Bopfingen
"Englisch, Spanisch",Baden-Württemberg,Leimen
Französisch,Baden-Württemberg,Ettlingen
Türkisch,Baden-Württemberg,Wehr
Italienisch,Baden-Württemberg,Heidelberg
Lettisch,Baden-Württemberg,Bad Wurzach
Französisch,Baden-Württemberg,Müllheim
"Englisch, Spanisch",Baden-Württemberg,München
Russisch,Baden-Württemberg,Denzlingen
Französisch,Baden-Württemberg,Erbach
"Englisch, Französisch",Baden-Württemberg,Neckargemünd
Griechisch (Neugriechisch),Baden-Württemberg,Karlsruhe
"Französisch, Spanisch",Baden-Württemberg,Heidelberg
Englisch,Baden-Württemberg,Meersburg<br />Meersburg
Englisch,Baden-Württemberg,Freiburg
Ukrainisch,Baden-Württemberg,Leipzig<br />Leipzig
"Englisch, Französisch",Baden-Württemberg,
"Englisch, Französisch",Baden-Württemberg,Heidelberg
"Französisch, Italienisch",Baden-Württemberg,Heidelberg
Russisch,Baden-Württemberg,Mannheim
"Englisch, Französisch",Baden-Württemberg,
Englisch,Baden-Württemberg,Reutlingen
Chinesisch,Baden-Württemberg,Stuttgart
Spanisch,Baden-Württemberg,Heidelberg
"Englisch, Französisch",Baden-Württemberg,Stuttgartd
Polnisch,Baden-Württemberg,Karlsruhe
"Albanisch, Englisch",Baden-Württemberg,Nürtingen
Englisch,Baden-Württemberg,Neckartailfingen bei Nürtingen
"Russisch, Weißrussisch (Belarussisch)",Baden-Württemberg,Heidelberg
"Englisch, Französisch, Italienisch",Baden-Württemberg,Heidelberg
Arabisch,Baden-Württemberg,
Türkisch,Baden-Württemberg,
Portugiesisch,Baden-Württemberg,Reutlingen
Englisch,Baden-Württemberg,Weil der Stadt
Gebärdensprache,Baden-Württemberg,Salach<br />München
Französisch,Baden-Württemberg,Heidelberg
Spanisch,Baden-Württemberg,Heidelberg
Albanisch,Baden-Württemberg,Plochingen
"Amharisch, Tigrinya (Tigrigna)",Baden-Württemberg,Pforzheim
Spanisch,Baden-Württemberg,Karlsruhe
"Englisch, Spanisch",Baden-Württemberg,Weinheim
"Englisch, Niederländisch",Baden-Württemberg,Reutlingen<br />Reutlingen
Japanisch,Baden-Württemberg,Heidelberg
"Englisch, Französisch",Baden-Württemberg,Rudersberg
Englisch,Baden-Württemberg,
"Französisch, Italienisch",Baden-Württemberg,Heidelberg
"Englisch, Französisch",Baden-Württemberg,Weingarten
Englisch,Baden-Württemberg,Waldbronn
"Englisch, Englisch (Pidgin), Ibo (Igbo)",Baden-Württemberg,Stuttgart<br />Stuttgart
"Englisch, Französisch",Baden-Württemberg,
Spanisch,Baden-Württemberg,Freiburg
Französisch,Baden-Württemberg,Heidelberg
Spanisch,Baden-Württemberg,Kressbronn
Slowakisch,Baden-Württemberg,Nürtingen
Englisch,Baden-Württemberg,Karlsruhe
Vietnamesisch,Baden-Württemberg,Stuttgart
Französisch,Baden-Württemberg,Cambieure
"Englisch, Spanisch",Baden-Württemberg,Baden-Baden
"Kroatisch, Serbisch",Baden-Württemberg,Pforzheim
"Französisch, Spanisch",Baden-Württemberg,Grafing
Englisch,Baden-Württemberg,Heidelberg
"Französisch, Spanisch",Baden-Württemberg,Mannheim
"Englisch, Französisch",Baden-Württemberg,Heidelberg
Spanisch,Baden-Württemberg,Heidelberg
Italienisch,Baden-Württemberg,Bruchsal
Griechisch (Neugriechisch),Baden-Württemberg,Ostfildern
Englisch,Baden-Württemberg,XE Den Haag
Arabisch,Baden-Württemberg,Tamm
Russisch,Baden-Württemberg,Heidelberg
"Bosnisch, Serbisch, Türkisch",Baden-Württemberg,Ulm
Ungarisch,Baden-Württemberg,Iggingen
"Englisch, Spanisch",Baden-Württemberg,Heidelberg
Arabisch,Baden-Württemberg,Tübingen
Spanisch,Baden-Württemberg,Karlsruhe
"Englisch, Spanisch",Baden-Württemberg,Aalen
Kroatisch,Baden-Württemberg,Karlsdorf-Neuthard
"Kroatisch, Serbisch",Baden-Württemberg,Forst
Russisch,Baden-Württemberg,Waldshut-Tiengen
"Englisch, Russisch",Baden-Württemberg,Waldbronn
"Kurdisch, Türkisch",Baden-Württemberg,Karlsruhe
Spanisch,Baden-Württemberg,Walldürn
Arabisch,Baden-Württemberg,Kehl
"Englisch, Französisch",Baden-Württemberg,Mannheim
"Mazedonisch (Makedonisch, Slawomazedonisch)",Baden-Württemberg,Offenburg
Spanisch,Baden-Württemberg,Beilstein
Russisch,Baden-Württemberg,Karlsruhe
"Französisch, Spanisch",Baden-Württemberg,Freiburg
Russisch,Baden-Württemberg,Heidelberg
"Englisch, Spanisch",Baden-Württemberg,Kirchheim
"Englisch, Spanisch",Baden-Württemberg,Heidelberg
"Bosnisch, Kroatisch, Serbisch",Baden-Württemberg,Pfinztal-Berghausen
Englisch,Baden-Württemberg,Bühlertal
Französisch,Baden-Württemberg,Freiburg
Englisch,Baden-Württemberg,Tübingen<br />Tübingen 
"Französisch, Spanisch",Baden-Württemberg,Freiburg
"Englisch, Französisch",Baden-Württemberg,March - Hugstetten
Italienisch,Baden-Württemberg,Stuttgart
Spanisch,Baden-Württemberg,
Englisch,Baden-Württemberg,Schorndorf
Russisch,Baden-Württemberg,Ulm
Englisch,Baden-Württemberg,Wertheim
Englisch,Baden-Württemberg,
"Englisch, Spanisch",Baden-Württemberg,Heidelberg
Russisch,Baden-Württemberg,Karlsruhe
Englisch,Baden-Württemberg,Leinfelden-Echterdingen
Portugiesisch,Baden-Württemberg,Heidelberg
Arabisch,Baden-Württemberg,Stuttgart
"Englisch, Spanisch",Baden-Württemberg,Heidelberg
Polnisch,Baden-Württemberg,Mannheim
Englisch,Baden-Württemberg,Heidelberg
Italienisch,Baden-Württemberg,Heidelberg
Türkisch,Baden-Württemberg,Lahr
Französisch,Baden-Württemberg,Ettlingen
"Englisch, Portugiesisch",Baden-Württemberg,Bad Nauheim
Filipino,Baden-Württemberg,
Spanisch,Baden-Württemberg,Heidelberg
"Französisch, Niederländisch",Baden-Württemberg,Schliengen
Englisch,Baden-Württemberg,Karlsruhe
Englisch,Baden-Württemberg,
Dänisch,Baden-Württemberg,Heidelberg
"Englisch, Rumänisch",Baden-Württemberg,Heilbronn
Vietnamesisch,Baden-Württemberg,Frankfurt am Main<br />Frankfurt am Main
Französisch,Baden-Württemberg,Kehl
"Italienisch, Spanisch",Baden-Württemberg,Karlsruhe
Russisch,Baden-Württemberg,Heidelberg
Rumänisch,Baden-Württemberg,Altbach
Thailändisch (Thai),Baden-Württemberg,Altenriet
Rumänisch,Baden-Württemberg,Böblingen
Italienisch,Baden-Württemberg,Dießen am Ammersee
Albanisch,Baden-Württemberg,Vaihingen/Enz
"Bosnisch, Kroatisch, Montenegrinisch, Serbisch",Baden-Württemberg,Stuttgart
Portugiesisch,Baden-Württemberg,Ludwigsburg
Englisch,Baden-Württemberg,Walldorf
Russisch,Baden-Württemberg,Kornwestheim
Englisch,Baden-Württemberg,Karlsbad-Langensteinbach
Russisch,Baden-Württemberg,Sasbachwalden
Englisch,Baden-Württemberg,Heidelberg
Türkisch,Baden-Württemberg,FDS-Wittlensweiler
Englisch,Baden-Württemberg,Waldshut-Tiengen
Chinesisch,Baden-Württemberg,Eppelheim
"Portugiesisch, Spanisch",Baden-Württemberg,Ulm
Polnisch,Baden-Württemberg,Mannheim
Französisch,Baden-Württemberg,Schwenningen/Heub.
Griechisch (Neugriechisch),Baden-Württemberg,Stuttgart
Französisch,Baden-Württemberg,Kehl
Tschechisch,Baden-Württemberg,Pforzheim
Französisch,Baden-Württemberg,Kämpfelbach-Ersingen
Griechisch (Neugriechisch),Baden-Württemberg,Mannheim
"Englisch, Französisch",Baden-Württemberg,Ettlingen
Rumänisch,Baden-Württemberg,Böblingen
Italienisch,Baden-Württemberg,
Französisch,Baden-Württemberg,Frankfurt am Main
Russisch,Baden-Württemberg,Rottweil
Russisch,Baden-Württemberg,Heidelberg
Französisch,Baden-Württemberg,Spechbach
Türkisch,Baden-Württemberg,München
Englisch,Baden-Württemberg,Dossenheim
Englisch,Baden-Württemberg,Heidelberg
Englisch,Baden-Württemberg,Friedrichshafen
Türkisch,Baden-Württemberg,Weingarten
Englisch,Baden-Württemberg,Markgröningen
Italienisch,Baden-Württemberg,Göppingen
"Englisch, Spanisch",Baden-Württemberg,Ravensburg
Polnisch,Baden-Württemberg,Hockenheim
"Rumänisch, Spanisch",Baden-Württemberg,Eschbach
Englisch,Baden-Württemberg,Wertheim-Reicholzheim
Englisch,Baden-Württemberg,Lobbach
Ungarisch,Baden-Württemberg,Marbach am Neckar
Türkisch,Baden-Württemberg,Stuttgart
Englisch,Baden-Württemberg,Mannheim
Französisch,Baden-Württemberg,Kehl<br />Strasbourg
"Englisch, Russisch",Baden-Württemberg,Schriesheim
Tamil,Baden-Württemberg,Böblingen
Russisch,Baden-Württemberg,Stuttgart
"Englisch, Norwegisch",Baden-Württemberg,Karlsruhe
Polnisch,Baden-Württemberg,Warszawa
Englisch,Baden-Württemberg,Friedrichshafen
Russisch,Baden-Württemberg,Stuttgart
Thailändisch (Thai),Baden-Württemberg,Oedheim
Englisch,Baden-Württemberg,Villingen-Schwenningen
"Englisch, Französisch",Baden-Württemberg,Heidelberg
Russisch,Baden-Württemberg,Reutlingen
Rumänisch,Baden-Württemberg,Villingen-Schwenningen
Russisch,Baden-Württemberg,Wendlingen
Rumänisch,Baden-Württemberg,Obersulm
Türkisch,Baden-Württemberg,Ilvesheim<br />Mannheim
"Französisch, Spanisch",Baden-Württemberg,Dossenheim
Italienisch,Baden-Württemberg,Karlsruhe
Polnisch,Baden-Württemberg,
Englisch,Baden-Württemberg,Großrinderfeld
"Englisch, Spanisch",Baden-Württemberg,Emmendingen
Griechisch (Neugriechisch),Baden-Württemberg,Ludwigsburg
Indonesisch,Baden-Württemberg,Sandhausen<br />Sandhausen
Türkisch,Baden-Württemberg,Ellwangen
Russisch,Baden-Württemberg,Sinsheim
Englisch,Baden-Württemberg,Stuttgart
"Arabisch, Französisch",Baden-Württemberg,
Spanisch,Baden-Württemberg,Herrenberg
"Rumänisch, Russisch",Baden-Württemberg,Tübingen<br />Stuttgart
Englisch,Baden-Württemberg,Waghäusel-Wiesental
Slowenisch,Baden-Württemberg,Edingen-Neckarhausen
Russisch,Baden-Württemberg,Weingarten
Italienisch,Baden-Württemberg,Mannheim
Englisch,Baden-Württemberg,
Spanisch,Baden-Württemberg,Kornwestheim
"Französisch, Russisch",Baden-Württemberg,Heidelberg
Polnisch,Baden-Württemberg,Freiburg
Kroatisch,Baden-Württemberg,Nußloch
"Bosnisch, Kroatisch, Serbisch",Baden-Württemberg,
Spanisch,Baden-Württemberg,Karlsruhe
"Kurdisch (Bahdinani), Kurdisch (Kurmandschi - Nordkurdisch)",Baden-Württemberg,Kirchardt-Berwangen
Portugiesisch,Baden-Württemberg,Edingen-Neckarhausen
Spanisch,Baden-Württemberg,Meckenbeuren/Friedrichshafen
Gebärdensprache - Deutsch,Baden-Württemberg,
Russisch,Baden-Württemberg,Freiburg
Russisch,Baden-Württemberg,
Italienisch,Baden-Württemberg,<br />Heidelberg
Albanisch,Baden-Württemberg,Freiburg
Türkisch,Baden-Württemberg,Kirchberg an der Jagst
Türkisch,Baden-Württemberg,Ravensburg
Englisch,Baden-Württemberg,Hüttisheim
Englisch,Baden-Württemberg,Heidelberg
Russisch,Baden-Württemberg,Sandhausen
Türkisch,Baden-Württemberg,Schemmerhofen
Türkisch,Baden-Württemberg,Mühlacker
Russisch,Baden-Württemberg,Ettenheim
